Tarih,Gerçek,Tahmin,Alt_Sınır,Üst_Sınır
2025-04-09,3086.9965,2981.91587858096,2935.988875360543,3028.5613074202583
2025-04-10,3187.2895,3087.6229039754344,3030.293768953158,3146.0366301208796
2025-04-11,3236.351,3187.9481373906406,3120.5033951426317,3256.8505910014965
2025-04-12,3236.351,3237.025105932357,3167.676974547395,3307.891436099968
2025-04-13,3236.351,3237.025670239672,3168.893357682851,3306.6228512822336
2025-04-14,3211.9744,3237.026238356972,3170.056327220567,3305.410941072665
2025-04-15,3247.5862,3212.641755595864,3146.7499669351114,3279.9132941123526
2025-04-16,3350.8022,3248.2653835884043,3181.700884103505,3316.2224817974047
2025-04-17,3322.916,3351.5106992280216,3275.2954296123967,3429.499478271243
2025-04-18,3322.9197,3323.616034171095,3248.7419956450053,3400.2157011566687
2025-04-19,3322.9197,3323.620346779958,3250.062077776479,3398.843451349435
2025-04-20,3322.9197,3323.620983730523,3251.3264261449212,3397.5230400324863
2025-04-21,3435.907,3323.6216445489054,3252.543230289261,3396.2533482242347
2025-04-22,3337.6222,3436.6397875943026,3354.6811361080813,3520.6007815628354
2025-04-23,3313.6283,3338.3213930339634,3253.0865167227917,3425.789528160243
2025-04-24,3315.6828,3314.3206933481474,3230.8482616146775,3399.9497249263954
2025-04-25,3319.0725,3316.3760674934974,3234.39580535194,3400.434233449324
2025-04-26,3319.0725,3319.7670391848096,3239.191332167035,3402.3470873777846
2025-04-27,3319.0725,3319.767367186606,3240.6301443310804,3400.8371462927234
2025-04-28,3338.4077,3319.767715172127,3242.020227023873,3399.3796802483703
2025-04-29,3338.2127,3339.1091311372884,3262.0041111779747,3418.0367067710577
2025-04-30,3273.5046,3338.914527409866,3263.1301907259253,3416.4589120695045
2025-05-01,3273.6334,3274.1851750838173,3197.9850760711593,3352.2009345674974
2025-05-02,3240.9921,3274.3142317417664,3199.413086542722,3350.968880286698
2025-05-03,3240.9921,3241.6628647999223,3167.9312447946954,3317.110542184086
2025-05-04,3240.9921,3241.6630131184256,3169.1683959177817,3315.8159421745822
2025-05-05,3333.5639,3241.6631846557243,3170.3716663116707,3314.5578212214696
2025-05-06,3397.7541,3334.2629580610724,3255.7944955565795,3414.622602461787
2025-05-07,3374.7474,3398.472115168131,3316.9776838632956,3481.9687734900513
2025-05-08,3318.5467,3375.458760721975,3295.5147023720833,3457.3421375221374
2025-05-09,3316.0018,3319.2404082157727,3239.693999610619,3400.739973854504
2025-05-10,3316.0018,3316.694998546756,3238.5646551049963,3396.710235827737
2025-05-11,3316.0018,3316.6952791610693,3239.8906686632713,3395.3206141205837
2025-05-12,3236.8221,3316.695570848905,3241.1794107741807,3393.9711800961973
2025-05-13,3236.7645,3237.4900053180786,3160.407907629421,3316.45212924314
2025-05-14,3184.7036,3237.4324037726733,3161.6602684684904,3315.0204889263123
2025-05-15,3237.8283,3185.3556176459897,3110.021271414603,3262.5147950366595
2025-05-16,3202.7885,3238.496248091385,3161.1643521802575,3317.7199223028365
2025-05-17,3202.7885,3203.4459414845833,3127.3241194424686,3281.420635685034
2025-05-18,3202.7885,3203.4458727228234,3128.611988441137,3280.0697233721444
2025-05-19,3222.6202,3203.4458434740422,3129.869151745234,3278.7521696710314
2025-05-20,3291.4822,3223.2835928077257,3150.2094885821407,3298.0527667509687
2025-05-21,3319.5682,3292.166550100286,3215.29652790488,3370.874350012627
2025-05-22,3300.4744,3320.2612265117627,3243.491355795316,3398.848155577784
2025-05-23,3300.4881,3301.161774660782,3225.8251671103153,3378.257809378934
2025-05-24,3300.4881,3301.175775489525,3227.0939094555465,3376.958280869324
2025-05-25,3300.4881,3301.1760873282983,3228.323543633878,3375.6726710487605
2025-05-26,3345.7797,3301.1764276676986,3229.5318308566284,3374.410402915351
2025-05-27,3310.0967,3346.482327922875,3273.5204082551204,3421.070460675533
2025-05-28,3261.1267,3310.787830437398,3238.7908496278164,3384.3852743476737
2025-05-29,3315.4905,3261.8017373832363,3190.1541122609683,3335.0584954831033
2025-05-30,3289.5548,3316.1824613538397,3242.3340490899986,3391.712868104158
2025-05-31,3289.5548,3290.2387040618523,3217.647509896438,3364.467579624671
2025-06-01,3289.5548,3290.238968330175,3218.8497984589026,3363.2114409008614
2025-06-02,3385.8823,3290.2392351906074,3220.0308906253445,3361.978376140758
2025-06-03,3359.4418,3386.595831446158,3308.575690019136,3466.4557804032474
2025-06-04,3377.8649,3360.1473359709307,3283.493322609842,3438.590857391592
2025-06-05,3361.8984,3378.576475557737,3302.547120400066,3456.356135142553
2025-06-06,3311.05,3362.6053002129793,3287.978431011702,3438.9259669021785
2025-06-07,3311.05,3311.7403201731313,3237.4988597182473,3387.6842659999957
2025-06-08,3311.05,3311.7405406163793,3238.719575058428,3386.407854765939
2025-06-09,3317.4868,3311.7407716763837,3239.9176576393015,3385.1560742364745
2025-06-10,3327.1449,3318.1799157885357,3247.3753303150406,3390.528298579597
2025-06-11,3361.8,3327.841452700676,3257.9362148258047,3399.2466408385712
2025-06-12,3390.8075,3362.507958099479,3292.1174784237714,3434.4034933090334
2025-06-13,3392.0382,3391.5252346512793,3321.060835774774,3463.484707467877
2025-06-14,3392.0382,3392.756958851107,3323.431314031677,3463.528713000174
2025-06-15,3392.0382,3392.757590724328,3324.5824151554284,3462.3307928672325
2025-06-16,3401.135,3392.7582578188026,3325.7210415244235,3461.146756530555
2025-06-17,3387.1896,3401.8588981181447,3335.712112112689,3469.3173672520597
2025-06-18,3374.787,3387.909165549128,3322.955688210552,3454.1322819121838
2025-06-19,3375.516,3375.502728196463,3311.7308525451103,3440.50261793023
2025-06-20,3368.2624,3376.2326738157312,3313.541891572075,3440.1095385979297
2025-06-21,3368.2624,3368.9770688526874,3307.442959231204,3431.65600446016
2025-06-22,3368.2624,3368.9777820802124,3308.5205829143165,3430.5397266570512
2025-06-23,3345.5893,3368.9785121777077,3309.590259658785,3429.4324448142706
2025-06-24,3344.5795,3346.296977955546,3287.7737153026324,3405.861970535188
2025-06-25,3324.7444,3345.2874034518773,3287.8253622108177,3403.753721325613
2025-06-26,3336.7813,3325.444806678551,3268.8755000758297,3382.993069637804
2025-06-27,3274.1691,3337.4868871013737,3281.591871834336,3394.333956387839
2025-06-28,3274.1691,3274.847117682922,3216.5146532355434,3334.237458986257
2025-06-29,3274.1691,3274.847170156752,3217.50633512765,3333.209905694934
2025-06-30,3266.4101,3274.847242530584,3218.4889791825162,3332.192383220211
2025-07-01,3311.8231,3267.085314119871,3211.753009436046,3323.370887605072
2025-07-02,3337.6168,3312.515724153283,3255.1636840362594,3370.8782377287425
2025-07-03,3345.5334,3338.319380183469,3280.8329711509264,3396.813060007459
2025-07-04,3329.4047,3346.239471841536,3289.5384717364077,3403.917813735048
2025-07-05,3329.4047,3330.104672171081,3274.3283950034115,3386.831065734965
2025-07-06,3329.4047,3330.1050636757727,3275.2802332498018,3385.8476055087626
2025-07-07,3327.4991,3330.105470293214,3276.2212580258415,3384.875919509499
2025-07-08,3335.4849,3328.199516559746,3275.2698417289853,3381.9845561735833
2025-07-09,3304.5671,3336.1890407823553,3283.98579980043,3389.222120422287
2025-07-10,3317.5583,3305.2576627185003,3253.199947491138,3358.1484056596314
2025-07-11,3325.1313,3318.2545409814165,3266.7029015537623,3370.6197136894966
2025-07-12,3325.1313,3325.831039308901,3274.9897869562465,3377.4615560895186
2025-07-13,3325.1313,3325.8314198811686,3275.8660220873758,3376.55891873766
2025-07-14,3367.0941,3325.8318135983654,3276.730355074813,3375.669052295408
2025-07-15,3345.7572,3367.8125467096993,3316.693994455372,3419.71896374412
2025-07-16,3330.5524,3346.466273388867,3295.9165940575626,3397.791236319613
2025-07-17,3346.0372,3331.2549380167793,3281.456007486616,3381.80961035067
2025-07-18,3340.2365,3346.7468416777583,3297.2695073390514,3396.9666105089486
2025-07-19,3340.2365,3340.9439131710583,3292.3206277687436,3390.2853011370703
2025-07-20,3340.2365,3340.944285447254,3293.1285104733306,3389.4543389253677
2025-07-21,3348.7712,3340.944674156192,3293.923499214794,3388.637082322465
2025-07-22,3394.6879,3349.4837967167236,3303.0384582361653,3396.5822215884477
2025-07-23,3429.3736,3395.421000718681,3346.291621855624,3445.271684279664
2025-07-24,3390.9514,3430.122051367449,3379.830584002674,3481.1618496401907
2025-07-25,3369.2155,3391.680456976511,3340.885370831413,3443.247835639939
2025-07-26,3369.2155,3369.9347849747164,3319.661431855593,3420.969483817108
2025-07-27,3369.2155,3369.935115225394,3320.455532317545,3420.152015378093
2025-07-28,3334.9563,3369.9354476924063,3321.2349326164103,3419.3500767099895
2025-07-29,3314.1389,3335.6596507533945,3286.6848273258297,3385.3642470237387
2025-07-30,3328.9391,3314.832657628939,3266.351019420572,3364.033896771006
2025-07-31,3285.7772,3329.6394516681617,3281.4503152970556,3378.5362607574452
2025-08-01,3287.4948,3286.457233619128,3237.2651405066217,3336.3968286876875
2025-08-02,3287.4948,3288.175194981182,3239.719363625154,3337.3557704674467
2025-08-03,3287.4948,3288.1748148258157,3240.466775043532,3336.585240164834
2025-08-04,3377.283,3288.174441944986,3241.198646625972,3335.8310734565457
2025-08-05,3378.3042,3378.005979359771,3321.400267728545,3435.5764065720764
2025-08-06,3383.2532,3379.027701938067,3323.2898903565474,3435.700341278341
2025-08-07,3367.2075,3383.978844715091,3329.006600089839,3439.8588519380655
2025-08-08,3399.9959,3367.926570245691,3313.7679032871565,3422.970381032136
2025-08-09,3399.9959,3400.728458986334,3345.815271722837,3456.542908839227
2025-08-10,3399.9959,3400.7287214163507,3346.6579521767476,3455.6730929564987
2025-08-11,3349.1862,3400.7289979879574,3347.4825374258767,3454.822419073563
2025-08-12,3349.0516,3349.896233630486,3295.4812863409124,3405.2096798740063
2025-08-13,3350.1062,3349.761479530907,3296.1833771356614,3404.210471900353
2025-08-14,3364.2112,3350.8164366481537,3298.0386687929704,3404.4387952008733
2025-08-15,3334.278,3364.927340140885,3312.5384514902503,3418.144776352322
2025-08-16,3334.278,3334.9810940730017,3282.8339250396634,3387.9566105952126
2025-08-17,3334.278,3334.980926040816,3283.620906163041,3387.1442821493038
2025-08-18,3329.6042,3334.9807717699214,3284.3917252274546,3386.349034631325
2025-08-19,3330.3475,3330.304775867836,3280.509102252146,3380.8563105506814
2025-08-20,3313.7601,3331.048241253225,3281.9825816825287,3380.8474327331232
2025-08-21,3338.4077,3314.453185692118,3266.0053751079636,3363.619669420012
2025-08-22,3337.9174,3339.1118403300675,3290.34559087369,3388.6008549247445
2025-08-23,3337.9174,3338.6212226758344,3290.5794115454605,3387.364434783978
2025-08-24,3337.9174,3338.6211325212425,3291.2840428149566,3386.639050753025
2025-08-25,3367.6157,3338.6210469977177,3291.9753407124354,3385.9277004923993
2025-08-26,3356.2171,3368.3333783249363,3320.9129698876227,3416.430918369357
2025-08-27,3390.8535,3356.9293917922805,3310.175633435883,3404.3435120637287
2025-08-28,3396.1047,3391.582119591299,3343.614631183143,3440.2377494864336
2025-08-29,3415.7672,3396.836085698015,3349.4654113801544,3444.876711936473
2025-08-30,3415.7672,3416.508143819304,3369.1117641170526,3464.5712917875444
2025-08-31,3415.7672,3416.5086075186327,3369.7922178091453,3463.872639850106
2025-09-01,3446.4166,3416.5090710991913,3370.4592956256356,3463.188013589812
2025-09-02,3481.3063,3447.1733824606263,3400.242422706156,3494.7520945543897
2025-09-03,3559.5866,3482.0795518700525,3433.922276507795,3530.912184151767
2025-09-04,3558.893,3560.3892079923817,3505.2003220901765,3616.4470351382383
2025-09-05,3553.4077,3559.6963040744326,3505.3378966489827,3614.8976648883868
2025-09-06,3553.4077,3554.2094785404097,3500.6942212959175,3608.5428257341814
2025-09-07,3553.4077,3554.2104437764374,3501.476869102671,3607.738206160656
2025-09-08,3636.972,3554.2114104699563,3502.2413905522417,3606.9526173702507
2025-09-09,3634.9757,3637.8051068514033,3578.4689607201644,3698.125131360897
2025-09-10,3633.1862,3635.809033002018,3577.406189066131,3695.1653309209123
2025-09-11,3645.3444,3634.0198327107114,3576.521586692748,3692.442454051179
2025-09-12,3632.6517,3646.1842644239696,3589.232814911794,3704.039379919601
2025-09-13,3632.6517,3633.486784890251,3577.394796517817,3690.4582711483076
2025-09-14,3632.6517,3633.487832518108,3578.2192206119803,3689.610114720464
2025-09-15,3676.5179,3633.488888522583,3579.024108169245,3688.7825015993903
2025-09-16,3677.0789,3677.3735774484844,3621.1960659555343,3734.422600105165
2025-09-17,3693.4919,3677.9360690660237,3622.569696325605,3734.1486464311697
2025-09-18,3665.8775,3694.357505570613,3639.3080297197753,3750.2396794966626
2025-09-19,3640.9515,3666.7299253883352,3612.0638253206407,3722.2233592577377
2025-09-20,3640.9515,3641.7922857869744,3587.6066796297487,3696.796287096405
2025-09-21,3640.9515,3641.7931385720917,3588.384685092463,3695.996507634471
2025-09-22,3686.6224,3641.793991653202,3589.1455008972894,3695.2147730777933
2025-09-23,3748.3929,3687.484877830884,3632.853284431121,3742.9380323463092
2025-09-24,3761.2579,3749.279791636642,3690.893677835467,3808.589513263552
2025-09-25,3745.1786,3762.1516212276515,3704.2939122820553,3820.9130150761475
2025-09-26,3746.1321,3746.0657618133614,3689.0208732317933,3803.992759611739
2025-09-27,3746.1321,3747.0208821139604,3690.789601980222,3804.1088778035733
2025-09-28,3746.1321,3747.0220671976344,3691.5985477421054,3803.277683228431
2025-09-29,3770.9528,3747.0232501062355,3692.389093428294,3802.465796962021
2025-09-30,3836.2342,3771.8561361060447,3717.0632231920963,3827.4567466902563
2025-10-01,3864.5849,3837.1627344964786,3778.1840774417183,3897.062067176536
2025-10-02,3861.0933,3865.5266756589235,3806.28126373282,3925.6942524464994
2025-10-03,3861.7495,3862.035015959687,3803.6848228271015,3921.280326642017
2025-10-04,3861.7495,3862.693102208857,3805.173090007325,3921.0826022695232
2025-10-05,3861.7495,3862.6946760900073,3805.9943161743154,3920.239737954124
2025-10-06,3904.2521,3862.6962431410016,3806.7970556988735,3919.4162568869674
2025-10-07,3968.8682,3905.2177158382265,3847.8228511045213,3963.4686933986577
2025-10-08,3996.7866,3969.85814735103,3908.5847412510325,4032.0921134858318
2025-10-09,4013.405,3997.789993590772,3936.340413758688,4060.198852973055
2025-10-10,3986.7322,4014.417688309723,3953.3938261109347,4076.3835036559703
2025-10-11,3986.7322,3987.732428665239,3927.2985909583044,4049.09623099172
2025-10-12,3986.7322,3987.734231456322,3928.1690250607985,4048.202661157743
2025-10-13,4032.0142,3987.7360258538974,3929.0188739101286,4047.3306752195513
2025-10-14,4164.3849,4033.0378047462855,3972.6927115481767,4094.2995382529934
